city,country,iso2,population,lat,lon,gni_ppp_year,gni_ppp,gni_usd_year,gni_usd,income_index
Fuzhou,People's Republic of China,CN,8291268,26.076944444,119.291666666,2024,26920.0,2024,13660.0,1.0
Heze,People's Republic of China,CN,8287693,35.233333333,115.433333333,2024,26920.0,2024,13660.0,1.0
Fuyang,People's Republic of China,CN,8200264,32.89856,115.80447,2024,26920.0,2024,13660.0,1.0
Fuyang,People's Republic of China,CN,8200264,32.89856,115.80447,2024,26920.0,2024,13660.0,1.0
Baghdad,Iraq,IQ,8126755,33.315277777,44.366111111,2024,14550.0,2024,6030.0,0.5404903417533432
Baghdad,Iraq,IQ,8126755,33.315277777,44.366111111,2024,14550.0,2024,6030.0,0.5404903417533432
Baghdad,Iraq,IQ,8126755,33.315277777,44.366111111,2024,14550.0,2024,6030.0,0.5404903417533432
Bogotá,Colombia,CO,8034649,4.60971,-74.08175,2024,21060.0,2024,7040.0,0.7823179791976226
Bogotá,Colombia,CO,8034649,4.60971,-74.08175,2024,21060.0,2024,7040.0,0.7823179791976226
Bogotá,Colombia,CO,8034649,4.60971,-74.08175,2024,21060.0,2024,7040.0,0.7823179791976226
Shangqiu,People's Republic of China,CN,7816831,34.42592,115.64673,2024,26920.0,2024,13660.0,1.0
Shangqiu,People's Republic of China,CN,7816831,34.42592,115.64673,2024,26920.0,2024,13660.0,1.0
Nantong,People's Republic of China,CN,7726635,31.98288,120.8873,2024,26920.0,2024,13660.0,1.0
Nantong,People's Republic of China,CN,7726635,31.98288,120.8873,2024,26920.0,2024,13660.0,1.0
Tangshan,People's Republic of China,CN,7717983,39.629444444,118.173888888,2024,26920.0,2024,13660.0,1.0
Tangshan,People's Republic of China,CN,7717983,39.629444444,118.173888888,2024,26920.0,2024,13660.0,1.0
Ahmedabad,India,IN,7645000,23.021944444,72.579722222,2024,11000.0,2024,2650.0,0.4086181277860327
Ahmedabad,India,IN,7645000,23.021944444,72.579722222,2024,11000.0,2024,2650.0,0.4086181277860327
Ningbo,People's Republic of China,CN,7639000,29.875,121.549166666,2024,26920.0,2024,13660.0,1.0
Ningbo,People's Republic of China,CN,7639000,29.875,121.549166666,2024,26920.0,2024,13660.0,1.0
Ningbo,People's Republic of China,CN,7639000,29.875,121.549166666,2024,26920.0,2024,13660.0,1.0
Ningbo,People's Republic of China,CN,7639000,29.875,121.549166666,2024,26920.0,2024,13660.0,1.0
Ningbo,People's Republic of China,CN,7639000,29.875,121.549166666,2024,26920.0,2024,13660.0,1.0
Ningbo,People's Republic of China,CN,7639000,29.875,121.549166666,2024,26920.0,2024,13660.0,1.0
Wuxi,People's Republic of China,CN,7462135,31.566667,120.283333,2024,26920.0,2024,13660.0,1.0
Wuxi,People's Republic of China,CN,7462135,31.566667,120.283333,2024,26920.0,2024,13660.0,1.0
Dalian,People's Republic of China,CN,7450785,38.9,121.6,2024,26920.0,2024,13660.0,1.0
Dalian,People's Republic of China,CN,7450785,38.9,121.6,2024,26920.0,2024,13660.0,1.0
